Script started on Sun 19 Apr 2009 12:59:41 PM MDT
]0;bdale@rover: ~/src/keithp/altosbdale@rover:~/src/keithp/altos$ cu -l /dev/ttyACM0 
Connected.

> l
F 5657 0000 0003
T 5a01 19e8 60a0
D 5a01 0860 0004
A 5a02 3ed8 3f5c
A 5a03 3ec8 3f5c
A 5a04 3ee8 3f60
A 5a05 3eec 3f58
A 5a06 3edc 3f5c
A 5a07 3ed0 3f54
A 5a08 3eec 3f50
A 5a09 3ee8 3f54
A 5a0a 3ee0 3f50
A 5a0b 3ee0 3f50
A 5a0c 3ed4 3f50
A 5a0d 3ee0 3f50
A 5a0e 3ed4 3f48
A 5a0f 3ed4 3f50
A 5a10 3ed8 3f4c
A 5a11 3ed0 3f40
A 5a12 3ee4 3f44
A 5a13 3ed4 3f44
A 5a14 3ecc 3f48
A 5a15 3ec8 3f3c
A 5a16 3edc 3f3c
A 5a17 3ec8 3f3c
A 5a18 3ed4 3f40
A 5a19 3ed4 3f3c
A 5a1a 3ee0 3f34
A 5a1b 3edc 3f34
A 5a1c 3ed4 3f30
A 5a1d 3ec8 3f30
A 5a1e 3edc 3f34
A 5a1f 3ee0 3f30
A 5a20 3ee0 3f30
A 5a21 3ec8 3f30
A 5a22 3ed4 3f2c
A 5a23 3ee4 3f2c
A 5a24 3ef8 3f2c
A 5a25 3ee8 3f24
A 5a26 3ed8 3f1c
A 5a27 3ee4 3f24
A 5a28 3ee4 3f24
A 5a29 3ed8 3f24
A 5a2a 3ed0 3f20
A 5a2b 3ed4 3f1c
A 5a2c 3ee0 3f20
A 5a2d 3ecc 3f1c
A 5a2e 3ed8 3f1c
A 5a2f 3ed0 3f18
A 5a30 3ed4 3f18
A 5a31 3ed8 3f14
A 5a32 3ed0 3f14
A 5a33 3ed0 3f18
A 5a34 3ed4 3f10
A 5a35 3ecc 3f0c
A 5a36 3ec0 3f14
A 5a37 3ec8 3f10
A 5a38 3ee0 3f10
A 5a39 3ec0 3f08
A 5a3a 3ec8 3f04
A 5a3b 3ec0 3f00
A 5a3c 3ecc 3f08
A 5a3d 3ed0 3f08
A 5a3e 3ecc 3f00
A 5a3f 3ec0 3f00
A 5a40 3ec0 3f00
A 5a41 3ec4 3f04
A 5a42 3ec0 3efc
A 5a43 3ee4 3f00
A 5a44 3ec4 3ef8
A 5a45 3ec0 3ef4
A 5a46 3ed0 3ef0
A 5a47 3ec4 3ef8
A 5a48 3ec8 3ef4
A 5a49 3ec8 3ef0
A 5a4a 3ec4 3ef4
A 5a4b 3ed0 3ef4
A 5a4c 3ebc 3ef0
A 5a4d 3ec4 3ef0
A 5a4e 3ed8 3ee8
A 5a4f 3ec0 3ee8
A 5a50 3ed4 3ee8
A 5a51 3ecc 3ee8
A 5a52 3edc 3ee8
A 5a53 3ecc 3ee0
A 5a54 3ec0 3ee4
A 5a55 3ed4 3ee4
A 5a56 3ee0 3ee0
A 5a57 3ed0 3ee0
A 5a58 3ed8 3ee0
A 5a59 3eb0 3ed8
A 5a5a 3ed0 3ed8
A 5a5b 3ec4 3ed8
A 5a5c 3ec8 3ee0
A 5a5d 3ecc 3edc
A 5a5e 3ed4 3ed8
A 5a5f 3ec0 3ed8
A 5a60 3ed8 3ed8
A 5a61 3ed4 3ed4
A 5a62 3ed4 3ed4
A 5a63 3ebc 3ed0
A 5a64 3ed0 3ec8
A 5a65 3ed8 3ecc
A 5a66 3ed8 3ed4
A 5a67 3ed8 3ec4
A 5a68 3ed4 3ec8
A 5a69 3ed0 3ec8
A 5a6a 3ecc 3ecc
A 5a6b 3ecc 3ec8
A 5a6c 3ec8 3ec8
A 5a6d 3ec0 3ec4
A 5a6e 3eb8 3ebc
A 5a6f 3ecc 3ec0
A 5a70 3ed0 3ec4
A 5a71 3edc 3ec0
A 5a72 3ec8 3ec0
A 5a73 3ec4 3ebc
A 5a74 3ed8 3ebc
A 5a75 3ecc 3eb8
A 5a76 3ec8 3ebc
A 5a77 3edc 3eb8
A 5a78 3ed4 3eb4
A 5a79 3ec4 3eb0
A 5a7a 3ebc 3eb0
A 5a7b 3ed0 3eb4
A 5a7c 3ed0 3eb0
A 5a7d 3ecc 3ea8
A 5a7e 3ec0 3eac
A 5a7f 3edc 3eb0
A 5a80 3ed4 3eb0
A 5a81 3ec8 3eb0
T 5a81 19ec 60a4
D 5a81 085c 0008
A 5a82 3ed4 3ea8
A 5a83 3ecc 3ea4
A 5a84 3ec4 3ea0
A 5a85 3ee0 3ea4
A 5a86 3ed0 3ea8
A 5a87 3ed8 3ea0
A 5a88 3ecc 3ea4
A 5a89 3ed8 3ea0
A 5a8a 3ed0 3ea0
A 5a8b 3ecc 3ea4
A 5a8c 3ed0 3e98
A 5a8d 3ec8 3e98
A 5a8e 3ed0 3e94
A 5a8f 3ed0 3e9c
A 5a90 3ecc 3e98
A 5a91 3ec8 3e9c
A 5a92 3ec8 3e94
A 5a93 3ec8 3e94
A 5a94 3ec0 3e94
A 5a95 3ec8 3e94
A 5a96 3ecc 3e8c
A 5a97 3ee4 3e8c
A 5a98 3ec8 3e84
A 5a99 3ee4 3e8c
A 5a9a 3ed8 3e8c
A 5a9b 3edc 3e88
A 5a9c 3eec 3e88
A 5a9d 3ed8 3e88
A 5a9e 3ec8 3e8c
A 5a9f 3ec4 3e8c
A 5aa0 3ebc 3e88
A 5aa1 3ed8 3e88
A 5aa2 3ec0 3e80
A 5aa3 3ec4 3e80
A 5aa4 3ebc 3e84
A 5aa5 3ed8 3e84
A 5aa6 3ed0 3e80
A 5aa7 3eb8 3e7c
A 5aa8 3ecc 3e7c
A 5aa9 3ec8 3e80
A 5aaa 3ec0 3e80
A 5aab 3ec8 3e7c
A 5aac 3ec8 3e70
A 5aad 3ebc 3e68
A 5aae 3ec8 3e78
A 5aaf 3ec4 3e7c
A 5ab0 3ecc 3e70
A 5ab1 3ebc 3e70
A 5ab2 3eb4 3e74
A 5ab3 3ebc 3e74
A 5ab4 3ecc 3e78
A 5ab5 3ecc 3e70
A 5ab6 3ea4 3e6c
A 5ab7 3ec4 3e64
A 5ab8 3ec8 3e64
A 5ab9 3ec0 3e68
A 5aba 3eb4 3e70
A 5abb 3ec4 3e64
A 5abc 3eb8 3e68
A 5abd 3eb4 3e64
A 5abe 3eb8 3e68
A 5abf 3eb0 3e68
A 5ac0 3eb0 3e60
A 5ac1 3eb4 3e5c
A 5ac2 3ecc 3e60
A 5ac3 3ed0 3e60
A 5ac4 3ec8 3e5c
A 5ac5 3ec8 3e5c
A 5ac6 3ebc 3e5c
A 5ac7 3ec8 3e5c
A 5ac8 3ecc 3e5c
A 5ac9 3ec8 3e5c
A 5aca 3ed4 3e54
A 5acb 3ec8 3e58
A 5acc 3ec8 3e50
A 5acd 3ed0 3e54
A 5ace 3ed0 3e58
A 5acf 3ec0 3e54
A 5ad0 3ed0 3e54
A 5ad1 3ec4 3e50
A 5ad2 3eb8 3e50
A 5ad3 3ec8 3e54
A 5ad4 3ed8 3e48
A 5ad5 3eb0 3e50
A 5ad6 3eb8 3e4c
A 5ad7 3ec0 3e4c
A 5ad8 3ed0 3e50
A 5ad9 3ed8 3e44
A 5ada 3ec8 3e44
A 5adb 3ecc 3e44
A 5adc 3ec0 3e48
A 5add 3ec8 3e48
A 5ade 3eb0 3e48
A 5adf 3ea8 3e40
A 5ae0 3eac 3e38
A 5ae1 3ec0 3e3c
A 5ae2 3ec4 3e40
A 5ae3 3ec8 3e44
A 5ae4 3ec0 3e40
A 5ae5 3ec0 3e3c
A 5ae6 3ec0 3e40
A 5ae7 3eb0 3e40
A 5ae8 3ed4 3e38
A 5ae9 3ec8 3e38
A 5aea 3ec8 3e34
A 5aeb 3ec4 3e34
A 5aec 3ec8 3e34
A 5aed 3ebc 3e38
A 5aee 3ebc 3e34
A 5aef 3eb4 3e34
A 5af0 3ea0 3e34
A 5af1 3ec8 3e38
A 5af2 3ed0 3e34
A 5af3 3ecc 3e30
A 5af4 3ed4 3e2c
A 5af5 3ecc 3e24
A 5af6 3ed4 3e2c
A 5af7 3eb8 3e30
A 5af8 3ec8 3e30
A 5af9 3ec8 3e28
A 5afa 3ec0 3e2c
A 5afb 3ec0 3e24
A 5afc 3ed0 3e24
A 5afd 3ec0 3e2c
A 5afe 3eac 3e24
A 5aff 3eb4 3e20
A 5b00 3eb4 3e20
A 5b01 3eac 3e20
T 5b01 19ec 60a8
D 5b01 085c 0008
A 5b02 3ec0 3e24
A 5b03 3ebc 3e24
A 5b04 3ec8 3e20
A 5b05 3eb8 3e20
A 5b06 3ec4 3e20
A 5b07 3ed4 3e1c
A 5b08 3ebc 3e20
A 5b09 3eb8 3e18
A 5b0a 3eb0 3e18
A 5b0b 3ed0 3e18
A 5b0c 3ec8 3e18
A 5b0d 3eb8 3e18
A 5b0e 3ebc 3e1c
A 5b0f 3eac 3e18
A 5b10 3ec8 3e14
A 5b11 3ed0 3e1c
A 5b12 3eb4 3e10
A 5b13 3eb4 3e0c
A 5b14 3eb8 3e0c
A 5b15 3ec0 3e10
A 5b16 3ed8 3e10
A 5b17 3ed0 3e14
A 5b18 3ec8 3e0c
A 5b19 3eb4 3e10
A 5b1a 3ebc 3e0c
A 5b1b 3ec8 3e0c
A 5b1c 3eb4 3e0c
A 5b1d 3ec4 3e0c
A 5b1e 3ecc 3e08
A 5b1f 3ec8 3e08
A 5b20 3ebc 3e0c
A 5b21 3ec8 3e0c
A 5b22 3eac 3e08
A 5b23 3ed4 3e04
A 5b24 3ebc 3e08
A 5b25 3ebc 3e04
A 5b26 3ecc 3e08
A 5b27 3eb4 3e04
A 5b28 3ec0 3e00
A 5b29 3ecc 3dfc
A 5b2a 3eb8 3dfc
A 5b2b 3eb8 3e00
A 5b2c 3eb8 3e00
A 5b2d 3eb4 3df8
A 5b2e 3ea0 3dfc
A 5b2f 3ec8 3dfc
A 5b30 3eac 3dfc
A 5b31 3ecc 3df8
A 5b32 3ebc 3dfc
A 5b33 3ec4 3df4
A 5b34 3ec8 3df4
A 5b35 3ec4 3dfc
A 5b36 3eb8 3df4
A 5b37 3ec0 3df4
A 5b38 3eb0 3df4
A 5b39 3eac 3df8
A 5b3a 3eb0 3df4
A 5b3b 3eb8 3df4
A 5b3c 3ec8 3df0
A 5b3d 3eac 3dec
A 5b3e 3ec0 3de8
A 5b3f 3eb4 3df4
A 5b40 3eb8 3df0
A 5b41 3eb4 3de4
A 5b42 3eb4 3df0
A 5b43 3eb8 3df0
A 5b44 3ec4 3df0
A 5b45 3eb8 3dec
A 5b46 3ec8 3dec
A 5b47 3ec4 3de4
A 5b48 3eb8 3de4
A 5b49 3eb4 3de8
A 5b4a 3eb4 3de8
A 5b4b 3ec4 3de8
A 5b4c 3eac 3de8
A 5b4d 3eb0 3de4
A 5b4e 3ea8 3de8
A 5b4f 3eb0 3de8
A 5b50 3ec8 3de0
A 5b51 3ec8 3ddc
A 5b52 3eb0 3ddc
A 5b53 3eac 3de0
A 5b54 3eb8 3de4
A 5b55 3ec4 3de0
A 5b56 3ec0 3ddc
A 5b57 3eb4 3ddc
A 5b58 3eac 3de4
A 5b59 3ebc 3de0
A 5b5a 3eb4 3de0
A 5b5b 3eb0 3ddc
A 5b5c 3ea0 3dd8
A 5b5d 3eb4 3dd8
A 5b5e 3ec0 3dd8
A 5b5f 3ebc 3dd8
A 5b60 3ec4 3dd4
A 5b61 3ec0 3dd8
A 5b62 3ec0 3dd8
A 5b63 3ebc 3dd8
A 5b64 3eac 3dd4
A 5b65 3ec0 3dd8
A 5b66 3eb8 3dd0
A 5b67 3eb0 3dd0
A 5b68 3ea8 3dd4
A 5b69 3eb8 3ddc
A 5b6a 3ebc 3dd0
A 5b6b 3eac 3dcc
A 5b6c 3ea8 3dcc
A 5b6d 3ec4 3dd0
A 5b6e 3ec0 3dd0
A 5b6f 3ec4 3dd0
A 5b70 3ea8 3dcc
A 5b71 3eb0 3dc4
A 5b72 3eb0 3dc8
A 5b73 3eb4 3dcc
A 5b74 3ebc 3dcc
A 5b75 3ec4 3dcc
A 5b76 3eb8 3dcc
A 5b77 3eac 3dd0
A 5b78 3ecc 3dcc
A 5b79 3eb4 3dcc
A 5b7a 3eb0 3dc8
A 5b7b 3eb0 3dc0
A 5b7c 3eb0 3dc0
A 5b7d 3eb8 3dc8
A 5b7e 3ea8 3dc8
A 5b7f 3ea4 3dc0
A 5b80 3eb4 3dc0
A 5b81 3ea4 3dc8
T 5b81 19f0 60a4
D 5b81 085c 0008
A 5b82 3eb8 3dc0
A 5b83 3ea8 3dc8
A 5b84 3eb0 3dc0
A 5b85 3eac 3dc0
A 5b86 3ea8 3dbc
A 5b87 3eb0 3dc4
A 5b88 3ebc 3dc4
A 5b89 3ec4 3dbc
A 5b8a 3ec0 3dbc
A 5b8b 3eb8 3dbc
A 5b8c 3ea4 3dbc
A 5b8d 3eb4 3dc0
A 5b8e 3eb0 3dc0
A 5b8f 3eb0 3db4
A 5b90 3eb8 3db0
A 5b91 3eac 3db8
A 5b92 3ebc 3dbc
A 5b93 3eb8 3dbc
A 5b94 3eac 3db8
A 5b95 3e9c 3db8
A 5b96 3eb4 3dbc
A 5b97 3eb4 3dbc
A 5b98 3eb0 3db8
A 5b99 3ea0 3db4
A 5b9a 3ea8 3db0
A 5b9b 3ec8 3db8
A 5b9c 3ea0 3db4
A 5b9d 3eac 3db0
A 5b9e 3eb4 3db4
A 5b9f 3ea8 3db4
A 5ba0 3ebc 3db4
A 5ba1 3ec8 3db0
A 5ba2 3ebc 3db4
A 5ba3 3e9c 3db0
A 5ba4 3ea8 3dac
A 5ba5 3eb8 3da8
A 5ba6 3eb8 3db4
A 5ba7 3eb4 3db0
A 5ba8 3eb0 3db0
A 5ba9 3ebc 3dac
A 5baa 3ea0 3dac
A 5bab 3ea8 3dac
A 5bac 3eb0 3dac
A 5bad 3ea8 3db4
A 5bae 3eb0 3dac
A 5baf 3eb0 3da8
A 5bb0 3ea4 3dac
A 5bb1 3eb0 3dac
A 5bb2 3eac 3da8
A 5bb3 3ea0 3dac
A 5bb4 3ea4 3da8
A 5bb5 3ea0 3da8
A 5bb6 3eb4 3dac
A 5bb7 3ec4 3da8
A 5bb8 3e9c 3da8
A 5bb9 3eb8 3da0
A 5bba 3ec8 3d9c
A 5bbb 3ec0 3da4
A 5bbc 3eb8 3da4
A 5bbd 3eac 3da8
A 5bbe 3eb0 3da4
A 5bbf 3eb0 3da8
A 5bc0 3ec4 3da8
A 5bc1 3eb0 3da8
A 5bc2 3eac 3da0
A 5bc3 3ebc 3da0
A 5bc4 3eb4 3d9c
A 5bc5 3ec8 3da4
A 5bc6 3ec8 3da4
A 5bc7 3ea4 3da4
A 5bc8 3eac 3da0
A 5bc9 3eac 3da0
A 5bca 3eb8 3da4
A 5bcb 3eb8 3da0
A 5bcc 3ebc 3d9c
A 5bcd 3eb0 3d9c
A 5bce 3ec0 3da0
A 5bcf 3ec8 3da0
A 5bd0 3e9c 3da0
A 5bd1 3ebc 3d9c
A 5bd2 3ec0 3da0
A 5bd3 3ebc 3d98
A 5bd4 3eac 3d9c
A 5bd5 3eb8 3d9c
A 5bd6 3eac 3d98
A 5bd7 3eb4 3d98
A 5bd8 3ea4 3d90
A 5bd9 3eb8 3d94
A 5bda 3eb8 3d9c
A 5bdb 3ea4 3d98
A 5bdc 3eb0 3d9c
A 5bdd 3ea4 3d9c
A 5bde 3eb0 3da0
A 5bdf 3eb0 3d9c
A 5be0 3ea8 3d9c
A 5be1 3ea4 3d94
A 5be2 3ea4 3d94
A 5be3 3eb8 3d90
A 5be4 3ea8 3d94
A 5be5 3eac 3d98
A 5be6 3eb0 3d98
A 5be7 3eb4 3d94
A 5be8 3eac 3d98
A 5be9 3ec0 3d94
A 5bea 3eb8 3d94
A 5beb 3eb4 3d98
A 5bec 3eb8 3d98
A 5bed 3ea4 3d90
A 5bee 3eb8 3d94
A 5bef 3ec0 3d94
A 5bf0 3ebc 3d94
A 5bf1 3ec4 3d94
A 5bf2 3ec8 3d8c
A 5bf3 3ea4 3d94
A 5bf4 3eb8 3d90
A 5bf5 3ec0 3d94
A 5bf6 3ebc 3d8c
A 5bf7 3eb8 3d8c
A 5bf8 3ebc 3d8c
A 5bf9 3eb4 3d94
A 5bfa 3ed0 3d90
A 5bfb 3ec8 3d90
A 5bfc 3eb4 3d90
A 5bfd 3eb0 3d8c
A 5bfe 3ea8 3d90
A 5bff 3ebc 3d94
A 5c00 3ebc 3d8c
A 5c01 3eb4 3d84
T 5c01 19ec 6098
D 5c01 0860 0008
A 5c02 3ebc 3d84
A 5c03 3eb0 3d8c
A 5c04 3ec8 3d94
A 5c05 3ea8 3d90
A 5c06 3ec0 3d8c
A 5c07 3ea4 3d8c
A 5c08 3ea8 3d8c
A 5c09 3ec0 3d8c
A 5c0a 3eb4 3d90
A 5c0b 3ea4 3d88
A 5c0c 3ebc 3d90
A 5c0d 3e9c 3d8c
A 5c0e 3eb8 3d90
A 5c0f 3eb8 3d90
A 5c10 3eb0 3d8c
A 5c11 3ea4 3d88
A 5c12 3ec0 3d8c
A 5c13 3eb8 3d88
A 5c14 3ea4 3d88
A 5c15 3ea4 3d88
A 5c16 3ec4 3d84
A 5c17 3ebc 3d84
A 5c18 3eb4 3d8c
A 5c19 3ed0 3d88
A 5c1a 3eb4 3d88
A 5c1b 3ec8 3d8c
A 5c1c 3ea8 3d84
A 5c1d 3eb4 3d88
A 5c1e 3ebc 3d88
A 5c1f 3eac 3d88
A 5c20 3ebc 3d80
A 5c21 3eb8 3d80
A 5c22 3ec0 3d8c
A 5c23 3ec8 3d88
A 5c24 3ec4 3d88
A 5c25 3ebc 3d84
A 5c26 3eac 3d88
A 5c27 3ec0 3d84
A 5c28 3eb8 3d88
A 5c29 3eb4 3d88
A 5c2a 3ea4 3d80
A 5c2b 3eb8 3d80
A 5c2c 3eb0 3d7c
A 5c2d 3eb0 3d88
A 5c2e 3ebc 3d88
A 5c2f 3eb0 3d84
A 5c30 3ebc 3d80
A 5c31 3eac 3d88
A 5c32 3ea0 3d84
A 5c33 3ea4 3d84
A 5c34 3e9c 3d80
A 5c35 3ea0 3d7c
A 5c36 3eb8 3d7c
A 5c37 3ea0 3d80
A 5c38 3eac 3d80
A 5c39 3ea4 3d80
A 5c3a 3ea0 3d80
A 5c3b 3eb0 3d84
A 5c3c 3ebc 3d80
A 5c3d 3eb8 3d80
A 5c3e 3eb0 3d80
A 5c3f 3eb8 3d7c
A 5c40 3eb0 3d7c
A 5c41 3eb0 3d80
A 5c42 3eb0 3d84
A 5c43 3e98 3d7c
A 5c44 3eb0 3d84
A 5c45 3ea8 3d84
A 5c46 3eb0 3d84
A 5c47 3ea4 3d84
A 5c48 3e98 3d84
A 5c49 3eb8 3d7c
A 5c4a 3ea4 3d78
A 5c4b 3eac 3d7c
A 5c4c 3eb8 3d88
A 5c4d 3ea8 3d84
A 5c4e 3ea8 3d84
A 5c4f 3e9c 3d7c
A 5c50 3eb8 3d80
A 5c51 3eb4 3d80
A 5c52 3eb0 3d80
A 5c53 3ea0 3d80
A 5c54 3ec4 3d7c
A 5c55 3ebc 3d80
A 5c56 3ebc 3d80
A 5c57 3ea4 3d7c
A 5c58 3eb0 3d7c
A 5c59 3ea4 3d7c
A 5c5a 3ea8 3d80
A 5c5b 3eb4 3d80
A 5c5c 3eac 3d7c
A 5c5d 3ea4 3d7c
A 5c5e 3eac 3d78
A 5c5f 3ea0 3d78
A 5c60 3ebc 3d80
A 5c61 3e9c 3d80
A 5c62 3eac 3d7c
A 5c63 3eb0 3d80
A 5c64 3eb4 3d7c
A 5c65 3ea4 3d7c
A 5c66 3ec0 3d80
A 5c67 3ea0 3d7c
A 5c68 3ea0 3d7c
A 5c69 3ea8 3d74
A 5c6a 3ebc 3d7c
A 5c6b 3ea4 3d84
A 5c6c 3ea0 3d80
A 5c6d 3eb4 3d80
A 5c6e 3ea8 3d78
A 5c6f 3ec0 3d80
A 5c70 3eb8 3d7c
A 5c71 3eac 3d80
A 5c72 3ec4 3d7c
A 5c73 3ebc 3d78
A 5c74 3ebc 3d7c
A 5c75 3eb4 3d78
A 5c76 3eb8 3d78
A 5c77 3eb0 3d7c
A 5c78 3e94 3d7c
A 5c79 3eac 3d80
A 5c7a 3eb4 3d7c
A 5c7b 3ec0 3d7c
A 5c7c 3eb0 3d80
A 5c7d 3eac 3d78
A 5c7e 3eac 3d74
A 5c7f 3e98 3d7c
A 5c80 3eac 3d7c
A 0c81 3d38 4ce4
T 0c81 1cf0 6158
D 0c81 0868 0008
A 0c82 3d10 4ce8
A 0c83 3d30 4ce0
A 0c84 3d3c 4ce0
A 0c85 3d54 4ce8
A 0c86 3d7c 4cdc
A 0c87 3d98 4cd8
A 0c88 3dc4 4ce0
A 0c89 3db8 4ce4
A 0c8a 3db0 4ce8
A 0c8b 3dd4 4cdc
A 0c8c 3dd0 4ce0
A 0c8d 3dd8 4cdc
A 0c8e 3de0 4ce4
A 0c8f 3dcc 4ce4
A 0c90 3df4 4ce4
A 0c91 3e10 4ce0
A 0c92 3e0c 4cdc
A 0c93 3e2c 4ce4
A 0c94 3e20 4ce4
A 0c95 3e0c 4ce0
A 0c96 3e10 4ce0
A 0c97 3e08 4ce4
A 0c98 3dfc 4ce4
A 0c99 3e24 4ce4
A 0c9a 3e18 4ce4
A 0c9b 3e10 4cdc
A 0c9c 3df8 4cd8
A 0c9d 3dec 4cdc
A 0c9e 3df0 4ce4
A 0c9f 3df0 4ce8
A 0ca0 3e10 4ce4
A 0ca1 3e0c 4ce4
A 0ca2 3ea4 4cdc
A 0ca3 3df4 4ce0
A 0ca4 3de8 4ce0
A 0ca5 3dd4 4ce0
A 0ca6 3e10 4cdc
A 0ca7 3e5c 4ce0
A 0ca8 3e30 4ce4
A 0ca9 3e40 4ce4
A 0caa 3e38 4ce0
A 0cab 3e30 4ce0
A 0cac 3e28 4ce4
A 0cad 3e44 4ce0
A 0cae 3e48 4ce4
A 0caf 3e40 4ce0
A 0cb0 3e28 4ce0
A 0cb1 3e04 4cdc
A 0cb2 3e1c 4ce4
A 0cb3 3df0 4ce0
A 0cb4 3e2c 4ce0
A 0cb5 3e0c 4ce0
A 0cb6 3e14 4ce4
A 0cb7 3e34 4ce8
A 0cb8 3e44 4ce0
A 0cb9 3e40 4ce4
A 0cba 3e2c 4ce0
A 0cbb 3e14 4cd8
A 0cbc 3e1c 4ce0
A 0cbd 3e0c 4ce4
A 0cbe 3e20 4ce8
A 0cbf 3e18 4ce0
A 0cc0 3e20 4ce4
A 0cc1 3e24 4cdc
A 0cc2 3e2c 4ce0
A 0cc3 3e14 4ce8
A 0cc4 3e24 4ce0
A 0cc5 3e10 4cdc
A 0cc6 3e18 4ce0
A 0cc7 3e24 4ce8
A 0cc8 3e2c 4ce4
A 0cc9 3e28 4ce0
A 0cca 3e14 4cdc
A 0ccb 3e18 4ce4
A 0ccc 3e2c 4ce0
A 0ccd 3e1c 4cec
A 0cce 3e10 4cdc
A 0ccf 3e24 4ce0
A 0cd0 3e0c 4ce0
A 0cd1 3e24 4ce4
A 0cd2 3e24 4ce8
A 0cd3 3e20 4ce0
A 0cd4 3e2c 4ce0
A 0cd5 3e1c 4ce0
A 0cd6 3e3c 4ce4
A 0cd7 3e38 4ce4
A 0cd8 3e1c 4ce4
A 0cd9 3e28 4ce0
A 0cda 3e24 4cd8
A 0cdb 3e0c 4cdc
A 0cdc 3e10 4ce4
A 0cdd 3e2c 4ce8
A 0cde 3e1c 4ce0
A 0cdf 3e14 4ce0
A 0ce0 3e2c 4cdc
A 0ce1 3e2c 4ce4
A 0ce2 3e1c 4ce0
A 0ce3 3e20 4ce0
A 0ce4 3e2c 4cd8
A 0ce5 3e28 4cdc
A 0ce6 3e24 4ce4
A 0ce7 3e20 4ce4
A 0ce8 3e24 4ce0
A 0ce9 3e1c 4ce0
A 0cea 3e24 4ce0
A 0ceb 3e2c 4ce4
A 0cec 3e20 4ce0
A 0ced 3e24 4cd8
A 0cee 3e14 4ce0
A 0cef 3e24 4ce0
A 0cf0 3e10 4ce0
A 0cf1 3e1c 4ce4
A 0cf2 3e08 4ce4
A 0cf3 3e10 4cdc
A 0cf4 3e14 4ce4
A 0cf5 3e20 4ce4
A 0cf6 3e24 4ce4
A 0cf7 3e24 4ce4
A 0cf8 3e18 4ce0
A 0cf9 3e10 4cd8
A 0cfa 3e1c 4cdc
A 0cfb 3e1c 4ce4
A 0cfc 3e2c 4ce8
A 0cfd 3e10 4cdc
A 0cfe 3e20 4ce4
A 0cff 3e14 4cdc
A 0d00 3e14 4ce0
A 0d01 3e14 4ce4
T 0d01 1cf0 6158
D 0d01 0864 000c
A 0d02 3e0c 4ce0
A 0d03 3e28 4cd8
A 0d04 3e1c 4cdc
A 0d05 3e18 4ce4
A 0d06 3e18 4ce0
A 0d07 3e24 4ce0
A 0d08 3e24 4ce0
A 0d09 3e1c 4ce4
A 0d0a 3e28 4cdc
A 0d0b 3e34 4ce4
A 0d0c 3e18 4ce4
A 0d0d 3e18 4ce0
A 0d0e 3e20 4ce0
A 0d0f 3e20 4ce4
A 0d10 3e20 4ce4
A 0d11 3e30 4cdc
A 0d12 3e20 4ce0
A 0d13 3e2c 4ce0
A 0d14 3e14 4ce0
A 0d15 3e10 4cdc
A 0d16 3e1c 4cdc
A 0d17 3e14 4ce0
A 0d18 3e1c 4cd8
A 0d19 3e18 4cdc
A 0d1a 3e30 4ce4
A 0d1b 3e28 4ce4
A 0d1c 3e10 4cdc
A 0d1d 3e18 4cdc
A 0d1e 3e1c 4ce0
A 0d1f 3e08 4ce0
A 0d20 3e10 4ce8
A 0d21 3e08 4ce0
A 0d22 3e20 4cdc
A 0d23 3e14 4ce0
A 0d24 3e24 4ce4
A 0d25 3e2c 4ce0
A 0d26 3e18 4ce0
A 0d27 3e2c 4cdc
A 0d28 3e1c 4ce0
A 0d29 3e24 4ce0
A 0d2a 3e28 4ce0
A 0d2b 3e20 4ce0
A 0d2c 3e20 4cdc
A 0d2d 3e24 4cd8
A 0d2e 3e20 4ce0
A 0d2f 3e38 4ce4
A 0d30 3e34 4ce0
A 0d31 3e2c 4cdc
A 0d32 3e20 4ce4
A 0d33 3e24 4ce4
A 0d34 3e2c 4ce0
A 0d35 3e18 4cdc
A 0d36 3e14 4cdc
A 0d37 3e20 4cd8
A 0d38 3e18 4cdc
A 0d39 3e1c 4ce0
A 0d3a 3e04 4ce4
A 0d3b 3e24 4ce0
A 0d3c 3e20 4ce0
A 0d3d 3e20 4cdc
A 0d3e 3e20 4ce4
A 0d3f 3e10 4ce4
A 0d40 3e2c 4ce0
A 0d41 3e18 4cd4
A 0d42 3e0c 4cdc
A 0d43 3e0c 4ce8
A 0d44 3e14 4ce0
A 0d45 3e20 4ce0
A 0d46 3e0c 4cdc
A 0d47 3e10 4cdc
A 0d48 3e24 4ce4
A 0d49 3e20 4ce0
A 0d4a 3e14 4ce4
A 0d4b 3e20 4cdc
A 0d4c 3e24 4cdc
A 0d4d 3e20 4ce4
A 0d4e 3e34 4ce4
A 0d4f 3e24 4ce0
A 0d50 3e20 4ce0
A 0d51 3e20 4ce0
A 0d52 3e20 4ce4
A 0d53 3e1c 4ce0
A 0d54 3e20 4ce0
A 0d55 3e14 4ce0
A 0d56 3e20 4cd4
A 0d57 3e20 4cdc
A 0d58 3e30 4ce4
A 0d59 3e08 4ce8
A 0d5a 3e1c 4ce0
A 0d5b 3e1c 4ce0
A 0d5c 3e0c 4cdc
A 0d5d 3e28 4ce0
A 0d5e 3e28 4ce8
A 0d5f 3e10 4ce0
A 0d60 3e04 4cd8
A 0d61 3e18 4cdc
A 0d62 3e2c 4ce4
A 0d63 3e28 4cdc
A 0d64 3e1c 4ce0
A 0d65 3e14 4cdc
A 0d66 3e10 4ce0
